file_name	common_name	order
Odocoileus_virginianus	White-tailed-Deer	CETARTIODACTYLA
Macroglossus_sobrinus	Long-tongued-Fruit-Bat	CHIROPTERA
Lipotes_vexillifer	Yangtze-River-Dolphin	CETARTIODACTYLA
Cavia_tschudii	Montane-Guinea-Pig	RODENTIA
Saiga_tatarica	Russian-Saiga	CETARTIODACTYLA
Choloepus_didactylus	Linnaeuss-Two-Toed-Sloth	PILOSA
Equus_asinus	Ass	PERISSODACTYLA
Lycaon_pictus	African-Hunting-Dog	CARNIVORA
Tragulus_javanicus	Java-Lesser-Chevrotain	CETARTIODACTYLA
Rangifer_tarandus	Siberian-Reindeer	CETARTIODACTYLA
Eubalaena_japonica	North-Pacific-Right-Whale	CETARTIODACTYLA
Cavia_porcellus	Domestic-Guinea-Pig	RODENTIA
Dasyprocta_punctata	Central-American-Agouti	RODENTIA
Semnopithecus_entellus	Northern-Plains-Gray-Langur	PRIMATES
Pteropus_vampyrus	Large-Flying-Fox	CHIROPTERA
Dasypus_novemcinctus	Nine-banded-Armadillo	CINGULATA
Paradoxurus_hermaphroditus	Asian-Palm-Civet	CARNIVORA
Murina_feae	Ashy-gray-Tube-nosed-Bat	CHIROPTERA
Myotis_myotis	Greater-Mouse-eared-Bat	CHIROPTERA
Anoura_caudifer	Tailed-Tailless-Bat	CHIROPTERA
Rousettus_aegyptiacus	Egyptian-Fruit-Bat	CHIROPTERA
Manis_javanica	Malayan-Pangolin	PHOLIDOTA
Tapirus_terrestris	South-American-Tapir	PERISSODACTYLA
Neomonachus_schauinslandi	Hawaiian-Monk-Seal	CARNIVORA
Micronycteris_hirsuta	Hairy-Big-eared-Bat	CHIROPTERA
Acinonyx_jubatus	Cheetah	CARNIVORA
Uropsilus_gracilis	Gracile-Shrew-like-Mole	EULIPOTYPHLA
Monodon_monoceros	Narwhal	CETARTIODACTYLA
Meriones_unguiculatus	Mongolian-Jird	RODENTIA
Balaenoptera_bonaerensis	Antarctic-Minke-Whale	CETARTIODACTYLA
Otolemur_garnettii	Small-eared-Galago	PRIMATES
Scalopus_aquaticus	Eastern-Mole	EULIPOTYPHLA
Cercopithecus_neglectus	De-Brazzas-Monkey	PRIMATES
Ctenodactylus_gundi	Common-Gundi	RODENTIA
Capra_hircus	Goat	CETARTIODACTYLA
Pan_troglodytes	Chimpanzee	PRIMATES
Catagonus_wagneri	Chacoan-Peccary	CETARTIODACTYLA
Dipodomys_stephensi	Stephens-Kangaroo-Rat	RODENTIA
Carollia_perspicillata	Sebas-Short-tailed-Bat	CHIROPTERA
Hippopotamus_amphibius	Hippopotamus	CETARTIODACTYLA
Pteropus_alecto	Black-Flying-Fox	CHIROPTERA
Elaphurus_davidianus	Pere-Davids-Deer	CETARTIODACTYLA
Fukomys_damarensis	Damara-Mole-rat	RODENTIA
Myotis_davidii	Bats	CHIROPTERA
Lasiurus_borealis	Eastern-Red-Bat	CHIROPTERA
Ceratotherium_simum_cottoni	Northern-White-Rhino	PERISSODACTYLA
Lemur_catta	Ring-Tailed-Lemur	PRIMATES
Odobenus_rosmarus	Pacific-Walrus	CARNIVORA
Hemitragus_hylocrius	Nilgiri-Tahr	CETARTIODACTYLA
Ailurus_fulgens	Lesser-Panda	CARNIVORA
Mungos_mungo	South-African-Banded-Mongoose	CARNIVORA
Elephantulus_edwardii	Cape-Elephant-Shrew	MACROSCELIDEA
Octodon_degus	Degu	RODENTIA
Canis_lupus	Domestic-Dog	CARNIVORA
Capra_aegagrus	Wild-Goat	CETARTIODACTYLA
Gorilla_gorilla	Western-Lowland-Gorilla	PRIMATES
Ateles_geoffroyi	Geoffroys-Spider-Monkey	PRIMATES
Castor_canadensis	North-American-Beaver	RODENTIA
Bison_bison	American-Bison	CETARTIODACTYLA
Leptonychotes_weddellii	Weddell-Seal	CARNIVORA
Dipodomys_ordii	Ords-Kangaroo-Rat	RODENTIA
Pipistrellus_pipistrellus	Common-Pipistrelle	CHIROPTERA
Acomys_cahirinus	Cairo-Spiny-Mouse	RODENTIA
Felis_catus	Domestic-Cat	CARNIVORA
Vicugna_pacos	Alpaca	CETARTIODACTYLA
Giraffa_tippelskirchi	Giraffe	CETARTIODACTYLA
Homo_sapiens	human	PRIMATES
